0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
FECHA,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00
Banco Amazonas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banco Bolivariano,0.9,0.9,0.85,0.86,0.86,0.9,0.92,0.92,1,1,1,0.91,0.91,0.91,0.86,0.86,0.85,0.86,0.85,0.85,0.85,0.87,0.9,0.9,0.9,0.9,0.9
RECYCOB S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banco Guayaquil,0.96,1,1,0.95,0.96,0.89,0.81,0.85,0.85,0.85,1,1.1,1.1,0.96,0.9,0.85,0.87,0.86,0.84,0.84,0.85,0.85,0.86,1,0.87,1.13,1
Banco Pichincha,100,97,97,98,100,100,85,94,94,93,91,100,90,120,90,91,91,88,90,90,87,89,84,100,100,100,94
Banco Solidario,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produbanco,0.7,0.7,0.67,0.7,0.71,0.69,0.7,0.8,0.75,0.8,0.79,0.8,0.85,0.85,0.87,0.8,0.78,0.75,0.7,0.7,0.68,0.67,0.68,0.7,0.69,0.69,0.62
Alicosta BK Holding S.A.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Holding Tonicorp S.A.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Inversancarlos,1.05,1.05,1.05,1.05,1.07,1.07,1.07,1.07,1.07,1.07,1.18,1.19,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Corporacion MultiBG,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62
Bolsa de Valores de Quito,1.05,1.05,1.01,1.05,1.07,1.07,1.05,1.05,1.1,1.11,1.12,1.12,1.2,1.2,1.2,1.2,1.03,1.02,1.04,1.07,1.07,1.05,1.08,1.16,1.1,1.12,1
BOLSA DE VALORES DE GUAYAQUIL (CM) ,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.15,1.16,1.16,1.16,1.2,1.25,1.11,1.11,1.08,1.03,1.15,1.15,1.15,1,1.12,1.18,1.18,1.1,1.1
UNACEM ECUADOR S.A. ,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82
Alimentos Ecuatorianos S.A Alimec,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVECERIA NACIONAL CN S.A.  PREFERIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVECERIA NACIONAL CN S.A.  ,92,91.5,92,91.5,89.99,89.97,85,85.9,83,85,92,86,92,92,92,92,92,92,91,92,91,85,85,84,85,85,84.95
Cridesa,3.36,3.36,4,4,4.62,4.55,4.35,4.25,4.25,4.25,4.5,4.52,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.5,3.15
Dolmen S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holcim Ecuador S.A.,70,70,68,60,58.5,58.5,58,58,58,58,58,56,50,56,60,60,60,55,60,55,56,55,55,55,60,59.99,55
Industrias Ales,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.4,0.4,0.4,0.4
Continental Tire Andina S.A.,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SOCIEDAD AGRICOLA E IND. SAN CARLOS,0.7,0.7,0.7,0.7,0.67,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Centro Gráfico S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fondo País Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,
Río Congo Forestal,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
El Tecal,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,35,35,35
